Corridore,Squadra,Prezzo
Jose Luis FAURA,,
Sinuhe FERNANDEZ,,
Carlos GARCIA PIERNA,,
Jesus HERRADA,,
Vojtech KMINEK,,
Tomoya KOYAMA,,
Merhawi KUDUS,,
Cesar MACIAS,,
Alexandre MAYER,,
Ander OKAMIKA,,
Lorenzo QUARTUCCI,,
Martin REY VAZQUEZ,,
Jambaljamts SAINBAYAR,,
Antonio ANGULO,,
David DELGADO,,
Julien ARRIOLA-BENGOA,,
Abel BALDERSTONE,,
Fernando BARCELO',,
Sebastien BERWICK,,
Joan BOU,,
Jan CASTELLON,,
Gorka CORRES,,
Sergi DARDER,,
Alex DIAZ,,
Samuel FERNANDEZ,,
Jaume GUARDENO,,
Javier IBANEZ,,
Ellande LARRONDE,,
Iuri LEITAO,,
Joseba LOPEZ,,
Pablo LOSPITAO,,
Alex MOLENAAR,,
Jakub OTRUBA,,
Jose Felix PARRA,,
Francisco Joel PENUELA,,
Eduard PRADES,,
Gorka SORARRAIN,,
Iker VILLAR,,
Daniel BABOR,,
Piet ALLEGAERT,,
Jenhte BIERMANS,,
Simon CARR,,
Camille CHARRET,,
Nicolas DEBEAUMARCHE,,
Valentin FERRON,,
Clement IZQUIERDO,,
Yael JOALLAND,,
Alex KIRSCH,,
Oliver KNIGHT,,
Jan MAAS,,
Sam MAISONOBE,,
Jamie MEEHAN,,
Ludovic ROBEET,,
Louis ROULAND,,
Benjamin THOMAS,,
Damien TOUZE,,
Edoardo ZAMPERINI,,
Jon AGIRRE,,
Yago AGUIRRE,,
Nicolas ALUSTIZA,,
Unai AZNAR,,
Xabiet BERASATEGI,,
Mikel BIZKARRA,,
Samuel FERNANDEZ,,
Ander GANZABAL,,
Paul HENNEQUIN,,
Xabier ISASA,,
Txomin JUARISTI,,
Jonathan LASTRA,,
Jordi LOPEZ,,
Gotzon MARTIN,,
Iker MINTEGUI,,
Jokin MURGUIALDAY,,
Louis SUTTON,,
Gari UGARTE,,
Axel VAN DER TUUK,,
Danny VAN DER TUUK,,
Ibai AZANZA,,
Hugo AZNAR,,
Urko BERRADE,,
Marc BRUSTENGA,,
Pablo CARRASCOSA,,
Ivan COBO,,
Inigo ELOSEGUI,,
Nil GIMENO,,
Iker GOMEZ,,
Jorge GUTIERREZ,,
Unai IRIBAR,,
Jose Maria MARTIN MUNOZ,,
Cesar PEREZ,,
Unai RAMOS,,
Mikel RETEGI,,
Ibon RUIZ,,
Antonio Jesus SOTO,,
Diego URIARTE,,
Mats WENZEL,,
Yen YI HO,,
Ivan Ramiro SOSA,,
Matteo AMBROSINI,,
Christian BAGATIN,,
Diego BRACALENTE,,
Marcin BUDZINSKY,,
Nicolò BURATTI,,
Cesare CHESINI,,
Edoardo CIPOLLINI,,
Luca CRETTI,,
Marton DINA,,
Alessandro FANCELLU,,
Filip GRUSZCZYNSKI,,
Balint MAKRAI,,
Lorenzo MASCIARELLI,,
Fausto MASNADA,,
Lorenzo NESPOLI,,
Barnabas PEAK,,
Davide PERSICO,,
Zsombor Tamas TAKACS,,
Mark VALENT,,
Samuele ZOCCARATO,,
Kevin COLLEONI,,
Samuel BOARDMAN,,
Robin CARPENTER,,
Ezra CAUDELL,,
Sean CHRISTIAN,,
Stefan DE BOD,,
Samuel FLOREZ,,
Kieran HAUG,,
Leo HAYTER,,
Cole KESSLER,,
Harry LASKER,,
Ian LOPEZ,,
Brody MCDONALD,,
Scott MCGILL,,
Byron MUNTON,,
Ben OLIVER,,
Riley PICKRELL,,
Hugo SCALA JR,,
Mark STEWART,,
Tyler STITES,,
Lucas TOWERS,,
Paul WRIGHT,,
Davide BAIS,,
Mattia BAIS,,
Dario Igor BELLETTA,,
Adrian BENITO,,
Gabriele BESSEGA,,
Tommaso BESSEGA,,
Aidan BUTTIGIEG,,
Ludovico CRESCIOLI,,
Fabrizio CROZZOLO,,
Pablo GARCIA,,
Dario GIULIANO,,
German Dario GOMEZ,,
Andrea MIFSUD,,
Francisco MUNOZ,,
Manuel PENALVER,,
Thomas PESENTI,,
Andrea PIETROBON,,
Gabriele RACCAGNI,,
Javier SERRANO,,
Diego Pablo SEVILLA,,
Fermando TERCERO,,
Xabier Mikel AZPARREN,,
Matteo BADILATTI,,
Sjoerd BAX,,
Walter CALZONI,,
Marcel CAMPRUBI,,
Mark DONOVAN,,
Frederik FRISON,,
Emmanuel HOUCOU,,
Damien HOWSON,,
Emils LIEPINS,,
Kamil MALECKI,,
Matteo MOSCHETTI,,
Nicolò PARISINI,,
Joseph PIDCOCK,,
Milan VADER,,
Harm VANHOUCKE,,
Nickolas ZUKOWSKY,,
Yukiya ARASHIRO,,
Franklin ARCHIBOLD CASTILLO,,
Alexandre BALMER,,
Valerio CONTI,,
Dorde DURIC,,
Matteo FABBRO,,
Tilen FINKST,,
Michele GAZZOLI,,
Roberto Carlos GONZALEZ,,
Ben GRANGER,,
Alessandro IACCHI,,
Felix James MEO,,
Tommaso NENCINI,,
Andrea PIRAS,,
Dusan RAJOVIC,,
Matteo REGNANTI,,
Carlos SAMUDIO,,
Santiago UMBA,,
Luca VERRANDO,,
Arnaud TISSIERES,,
Kyrylo TSARENKO,,
Tom CRABBE,,
Brem DEMAN,,
Tuur DENS,,
Siebe DEWEIRDT,,
Ferre GEERAERTS,,
Jules HESTERS,,
Nolan HUYSMANS,,
Michiel LAMBRECHT,,
Milan LANHOVE,,
Elias MARIS,,
Senne THONNON,,
Artuur TORNEY,,
Milan VAN DEN HAUTE,,
Leander VAN HAUTEGEM,,
Vincent VAN HEMELEN,,
Enri VANDENABEELE,,
Noah VANDENBRANDEN,,
Dylan VANDERSTORME,,
Ward VANHOOF,,
Victor VERCOUILLIE,,
Hamish ARMITT,,
Hamish BEADLE,,
Sam BRAND,,
Jacopo COLLADON,,
Lucas DAUGE,,
Quinten DE GRAEVE,,
Declan IRVINE,,
Juan Jose LOPEZ,,
David LOZANO,,
Bailey MCDONALD,,
Anton MULLER,,
Andrea PERON,,
Andrea PERRACCHIONE,,
Antonio POLGA,,
Umberto POLI,,
Luis Marie POSNIC,,
Filippo RIDOLFO,,
Nathan SMITH,,
Lucas TERRIER,,
Celestin WATTELLE,,
Thomas BONNET,,
Geoffrey BOUCHARD,,
Rayan BOULAHOITE,,
Nicolas BREUILLARD,,
Alexis BRUNEL,,
Florian DAUPHIN,,
Joris DELBOVE,,
Alexandre DELETTRE,,
Fabien DOUBEY,,
Sandy DUJARDIN,,
Fabien GRELLIER,,
Alan JOUSSEAUME,,
Samuel LEROUX,,
Theo LEVEQUE,,
Lorenzo MANZIN,,
Nicola MARCEROU,,
Valentin RETAILLEAU,,
Jason TESSON,,
Baptiste VADIC,,
Matteo VERCHER,,
Marco BRENNER,,
Jacob ERIKSSON,,
Robin FROIDEVAUX,,
Petr KELEMEN,,
Arthur KLUCKERS,,
Sebastian KOLZE CHANGIZI,,
Fabian LIENHARD,,
Aivaras MIKUTIS,,
Joel SUTER,,
Roland THALMANN,,
Larry WARBASSE,,
Fabian WEIS,,
Hannes WILKSCH,,
Luc WIRTGEN,,
Ronan AUGÉ,,
Joren BLOEM,,
Cedric Bakke CHRISTOPHERSEN,,
Hartthijs DE VRIES,,
Odd Christian EIKING,,
Karsten Larsen FELDMANN,,
Eivind Broholt FOUGNER,,
Owen GELEIJN,,
Jelle JOHANNINK,,
Matias KOPECKY,,
Thomas KOPECKY,,
Lukas KUBIS,,
Niklas LARSEN,,
Lander LOOCKX,,
Adrien MAIRE,,
Sergio MERIS,,
Wessel MOURIS,,
Tobias MULLER,,
Jannis PETER,,
Martijn RASENBEBERG,,
Elmer REINDERS,,
Colin SAVIOZ,,
Abram STOCKMAN,,
Adam TOUPALIK,,
Clement VENTURINI,,
Kilian VERSCHUREN,,
Robin DONZÈ,,
